id,title,director,actors,genre,description,year
5355,Nowhere Boy,Sam Taylor-Johnson,"Aaron Taylor-Johnson, Kristin Scott Thomas, David Threlfall, Josh Bolt, Ophelia Lovibond, Kerrie Hayes, Angela Walsh, Paul Ritter, Richard Syms, Anne-Marie Duff, James Johnson, Alex Ambrose, Angelica Jopling, Abby Greenhalgh, David Morrissey","Biography, Drama, Music","A chronicle of John Lennon's first years, focused mainly in his adolescence and his relationship with his stern aunt Mimi, who raised him, and his absentee mother Julia, who re-entered his life at a crucial moment in his young life.",2009
5356,Hercules,Brett Ratner,"Dwayne Johnson, Ian McShane, John Hurt, Rufus Sewell, Aksel Hennie, Ingrid Bolsø Berdal, Reece Ritchie, Joseph Fiennes, Tobias Santelmann, Peter Mullan, Rebecca Ferguson, Isaac Andrews, Joe Anderson, Stephen Peacocke, Nicholas Moss","Action, Adventure, Fantasy","Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.",2014
5357,A Very Harold & Kumar 3D Christmas,Todd Strauss-Schulson,"Patton Oswalt, Isabella Gielniak, Kal Penn, Austin Bickel, Inga R. Wilson, John Cho, Bobby Lee, Thomas Lennon, Amir Blumenfeld, Paula Garcés, Danny Trejo, Marvin Cruz, Allyson Lengers, Gabriel Anderson, Eric Kissack","Adventure, Comedy","Six years after their Guantanamo Bay adventure, stoner buds Harold Lee and Kumar Patel cause a holiday fracas by inadvertently burning down Harold's father-in-law's prize Christmas tree.",2011
5358,The Devil's Double,Lee Tamahori,"Dominic Cooper, Ludivine Sagnier, Raad Rawi, Philip Quast, Mimoun Oaïssa, Khalid Laith, Dar Salim, Nasser Memarzia, Mem Ferda, Pano Masti, Akin Gazi, Stewart Scudamore, Amrita Acharia, Elektra Anastasi, Amber Rose Revah","Biography, Drama, Thriller",A chilling vision of the House of Saddam Hussein comes to life through the eyes of the man who was forced to become the double of Hussein's sadistic son.,2011
5359,Venom,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze, Reid Scott, Jenny Slate, Melora Walters, Woody Harrelson, Peggy Lu, Malcolm C. Murray, Sope Aluko, Wayne Pére, Michelle Lee, Kurt Yue, Chris O'Hara","Action, Sci-Fi, Thriller","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",2018
5360,X: First Class,Matthew Vaughn,"James McAvoy, Laurence Belcher, Michael Fassbender, Bill Milner, Kevin Bacon, Rose Byrne, Jennifer Lawrence, Beth Goddard, Morgan Lily, Oliver Platt, Álex González, Jason Flemyng, Zoë Kravitz, January Jones, Nicholas Hoult","Action, Adventure, Sci-Fi","In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",2011
5361,Noruwei no mori,Anh Hung Tran,"Ken'ichi Matsuyama, Rinko Kikuchi, Kiko Mizuhara, Kengo Kôra, Reika Kirishima, Eriko Hatsune, Tokio Emoto, Takao Handa, Yusuke, Yûki Itô, Kentarô Tamura, Makoto Sugisawa, Kohei Yoshino, Sawako Okuma, Haruka Masuda","Drama, Romance","Toru recalls his life in the 1960s, when his friend Kizuki killed himself and he grew close to Naoko, Kizuki's girlfriend, and another woman, the outgoing, lively Midori.",2010
5362,2 Guns,Baltasar Kormákur,"Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos, Bill Paxton, Robert John Burke, James Marsden, Greg Sproles, Fred Ward, Patrick Fischler, Derek Solorsano, Edgar Arreola, Kyle Clements, Christopher Matthew Cook, Tim Bell","Action, Comedy, Thriller","Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.",2013
5363,Kaminey,Vishal Bhardwaj,"Shahid Kapoor, Priyanka Chopra, Deb Mukherjee, Shivkumar Subramaniam, Chandan Roy Sanyal, Tenzing Nima, Hrishikesh Joshi, Rajatabha Dutta, Harish Khanna, Carlos Paca, Eric Santos, Amole Gupte, Sagar, Samrat, Vijay Raj","Action, Crime, Drama","The desperate lives of two estranged twin brothers converge over missing drugs, politics, racial prejudice, corrupt cops and an unplanned pregnancy.",2009
5364,Love Aaj Kal,Imtiaz Ali,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor, Rahul Khanna, Florence Brudenell-Bruce, Giselli Monteiro, Raj Zutshi, Nirupama Verma, Gunjas Singh, Chandan Anand, Dhirendra Divedi, Sanjay Gandhi, Rajinder Sharma Nanu, Vir Das, Kavi Shastri","Comedy, Drama, Romance",An old-fashioned romantic tells his personal love story to a modern man who has just broken up with his girlfriend. Has love really ever changed?,2009
5365,Looper,Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano, Noah Segan, Piper Perabo, Jeff Daniels, Pierce Gagnon, Qing Xu, Tracie Thoms, Frank Brennan, Garret Dillahunt, Nick Gomez, Marcus Hester, Jon Eyez","Action, Crime, Drama","In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",2012
5366,En kongelig affære,Nikolaj Arcel,"Alicia Vikander, Mads Mikkelsen, Mikkel Boe Følsgaard, Trine Dyrholm, David Dencik, Thomas W. Gabrielsson, Cyron Melville, Bent Mejding, Harriet Walter, Laura Bro, Søren Malling, Jacob Lohmann, Søren Spanning, Frederik Christian Johansen, John Martinus","Biography, Drama, History","A young queen, who is married to an insane king, falls secretly in love with her physician - and together they start a revolution that changes a nation forever.",2012
5367,Pranzo di ferragosto,Gianni Di Gregorio,"Valeria De Franciscis, Marina Cacciotti, Maria Calì, Grazia Cesarini Sforza, Alfonso Santagata, Luigi Marchetti, Biagio Ursitti, Petre Rosu, Gianni Di Gregorio, Marcello Ottolenghi","Comedy, Drama","Gianni is a middle-aged man living in Rome with his imposing and demanding elderly mother. His only outlet from her and the increasing debt into which they are sinking, are the increasingly...",2008
5368,The Stoning of Soraya M.,Cyrus Nowrasteh,"Shohreh Aghdashloo, Mozhan Marnò, Jim Caviezel, Navid Negahban, Ali Pourtash, David Diaan, Parviz Sayyad, Vida Ghahremani, Vachik Mangassarian, Bita Sheibani, Noor Taher, Haya Al Taher, Khalid Khan, Sheede Dana, Fay Yan",Drama,A desperate woman asks for a meeting with a journalist to disclose the cruel and inhumane punishment of her niece.,2008
5369,Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer, Andy Richter, Tom McGrath, Frances McDormand, Jessica Chastain, Bryan Cranston, Martin Short, Chris Miller, Christopher Knights, Conrad Vernon","Animation, Adventure, Comedy","The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal control officer.",2012
5370,Død snø,Tommy Wirkola,"Vegar Hoel, Stig Frode Henriksen, Charlotte Frogner, Lasse Valdal, Evy Kasseth Røsten, Jeppe Beck Laursen, Jenny Skavlan, Ane Dahl Torp, Bjørn Sundquist, Ørjan Gamst","Comedy, Horror","A ski vacation turns horrific for a group of medical students, as they find themselves confronted by an unimaginable menace: Nazi zombies.",2009
5371,Jack Goes Boating,Philip Seymour Hoffman,"Philip Seymour Hoffman, John Ortiz, Richard Petrocelli, Tom McCarthy, Amy Ryan, Daphne Rubin-Vega, Lola Glaudini, Rafael Osorio, Stephen Adly Guirgis, Mason Pettit, Trevor Long, Stephen Mailer, Elizabeth Rainer, Theodore Mailer, Count Stovall","Drama, Romance","A limo driver's blind date sparks a tale of love, betrayal, friendship, and grace centered around two working-class New York City couples.",2010
5372,Sound of Noise,"Ola Simonsson, Johannes Stjärne Nilsson","Bengt Braskered, Sanna Persson, Magnus Börjeson, Marcus Boij, Johannes Björk, Fredrik Myhr, Anders Vestergard, Axel Bergendal, Nina Brundahl Warnolf, Martin Bergendal, Bilo Frenander, Tage Persson, Benjamin Peetre, Lasse Svensson, Paula McManus","Comedy, Crime, Music",A tone-deaf cop works to track down a group of guerilla percussionists whose anarchic public performances are terrorizing the city.,2010
5373,Date Night,Shawn Levy,"Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson, Jimmi Simpson, Common, William Fichtner, Leighton Meester, J.B. Smoove, Kristen Wiig, Mark Ruffalo, James Franco, Mila Kunis, Bill Burr, Jonathan Morgan Heit","Comedy, Crime, Romance","In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous.",2010
5374,A Wednesday,Neeraj Pandey,"Anupam Kher, Naseeruddin Shah, Jimmy Sheirgill, Deepal Shaw, Aamir Bashir, Kali Prasad Mukherjee, Mukesh Bhatt, Gaurav Kapoor, Chetan Pandit, Virendra Saxena, Snehal Dabi, Rohitashv Gour, Vije Bhatia, Aayam Mehta, Rajendra Chawla","Crime, Drama, Mystery",A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,2008
5375,Easy A,Will Gluck,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd, Thomas Haden Church, Patricia Clarkson, Cam Gigandet, Lisa Kudrow, Malcolm McDowell, Aly Michalka, Stanley Tucci, Fred Armisen, Juliette Goglia, Jake Sandvig, Morgan Rusler","Comedy, Drama, Romance",A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,2010
5376,The Social Network,David Fincher,"Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons, Joseph Mazzello, Patrick Mapel, Andrew Garfield, Toby Meuli, Alecia Svensen, Jami Owen, James Dastoli, Robert Dastoli, Scotty Crowe, Jayk Gallagher, Marcella Lentz-Pope","Biography, Drama",As Harvard student,2010
5377,Don 2,Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra, Boman Irani, Lara Dutta, Kunal Kapoor, Om Puri, Nawab Shah, Alyy Khan, Sahil Shroff, Florian Lukas, Leonard Benhaus, Hrithik Roshan, Andreas Adam, Marco Ammer, Günter Barton","Action, Crime, Thriller","An international criminal turns himself in and escapes with an old rival from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.",2011
5378,Mademoiselle Chambon,Stéphane Brizé,"Vincent Lindon, Sandrine Kiberlain, Aure Atika, Jean-Marc Thibault, Arthur Le Houérou, Bruno Lochet, Abdellah Moundy, Michelle Goddet, Anne Houdy, Geneviève Mnich, Florence Hautier, Jocelyne Monier, Jean-François Malet, Maxence Lavergne, Philomène Pagnier","Drama, Romance","Jean, his loving wife and son live a simple, happy life. At his son's homeroom teacher Madamoiselle Chambon's request, he volunteers as substitute teacher and starts to fall for her ...",2009
5379,The Joneses,Derrick Borte,"David Duchovny, Demi Moore, Amber Heard, Benjamin Hollingsworth, Gary Cole, Glenne Headly, Lauren Hutton, Chris Williams, Christine Evangelista, Robert Pralgo, Tiffany Morgan, Joe Narciso, Ric Reitz, L. Warren Young, Hayes Mercure",Drama,"A seemingly perfect family moves into a suburban neighborhood, but when it comes to the truth as to why they're living there, they don't exactly come clean with their neighbors.",2009
5380,A.R.O.G,"Ali Taner Baltaci, Cem Yilmaz","Cem Yilmaz, Özge Özberk, Zafer Algöz, Nil Karaibrahimgil, Hasan Kaçan, Özkan Ugur, Ozan Güven, Metin Keçeci, Muhittin Korkmaz, Raimundo Querido, Dilek Altunay, Ethel Mulinas Araf, Ilker Ayrik, Vedat Baltaci, Berkay Budak","Comedy, Fantasy, Sci-Fi",Commander Logar fools Arif and sends him 1.000.000 years back in the time. He must civilize people from past to reach today.,2008
5381,Shi,Chang-dong Lee,"Jeong-hie Yun, Da-wit Lee, Hee-ra Kim, Nae-sang Ahn, Myung-shin Park, Hye-jin Jang, Jong-gu Kim, Yong-taek Kim",Drama,"A sixty-something woman, faced with the discovery of a heinous family crime and in the early stages of Alzheimer's disease, finds strength and purpose when she enrolls in a poetry class.",2010
5382,Die Fremde,Feo Aladag,"Sibel Kekilli, Nizam Schiller, Derya Alabora, Settar Tanriögen, Tamer Yigit, Serhad Can, Almila Bagriacik, Florian Lukas, Nursel Köse, Alwara Höfels, Ufuk Bayraktar, Blanca Apilánez, Rosa Enskat, Gümeç Alpay Aslan, Ayla Arslancan",Drama,"Umay is a young woman of Turkish descent, fighting for an independent and self-determined life in Germany against the resistance of her family. Her struggle initiates a dynamic, which results in a life-threatening situation.",2010
5383,Universal Soldier: Regeneration,John Hyams,"Jean-Claude Van Damme, Dolph Lundgren, Andrei Arlovski, Mike Pyle, Corey Johnson, Garry Cooper, Emily Joyce, Zachary Baharov, Aki Avni, Kerry Shale, Yonko Dimitrov, Violeta Markovska, Stanislav Pishtalov, Marianne Stanicheva, John Laskowski","Action, Adventure, Sci-Fi","Terrorists kidnap the Russian Prime Minister's 2 kids, take Chernobyl nuclear power plant and threaten to blow up a reactor. 4 Universal Soldiers go in but are no match to a Next Gen. UniSol. Luc/JCVD goes in but faces 2 NGUs.",2009
5384,Evil Dead,Fede Alvarez,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas, Elizabeth Blackmore, Phoenix Connolly, Jim McLarty, Sian Davis, Stephen Butterworth, Karl Willetts, Randal Wilson, Rupert Degas, Bob Dorian, Ellen Sandweiss, Inca","Fantasy, Horror, Thriller","Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.",2013
5385,The Guernsey Literary and Potato Peel Pie Society,Mike Newell,"Jessica Brown Findlay, Tom Courtenay, Michiel Huisman, Katherine Parkinson, Marek Oravec, Jack Morris, Matthew Goode, Lily James, Stephanie Schonfield, Pippa Rathborne, Emily Patrick, Rachal Olivant, Clive Merrison, Glen Powell, Bernice Stegers","Drama, History, Romance","In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war.",2018
5386,Harry Brown,Daniel Barber,"Michael Caine, Emily Mortimer, Charlie Creed-Miles, David Bradley, Iain Glen, Sean Harris, Plan B, Jack O'Connell, Jamie Downey, Lee Oakes, Joseph Gilgun, Liam Cunningham, Marva Alexander, Liz Daniels, Marvin Campbell","Action, Crime, Drama",An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.,2009
5387,Raajneeti,Prakash Jha,"Ajay Devgn, Ranbir Kapoor, Nana Patekar, Arjun Rampal, Manoj Bajpayee, Katrina Kaif, Naseeruddin Shah, Nikhila Trikha, Sarah Thompson, Darshan Jariwala, Shruti Seth, Vinay Apte, Barkha Bisht, Dhananjay Galani, Prakash Jha","Drama, Thriller","When the American-educated scion of a powerful Indian family returns to the subcontinent, his first taste of power starts him down a corrupt path.",2010
5388,Solace,Afonso Poyart,"Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell, Matt Gerald, Jose Pablo Cantillo, Marley Shelton, Xander Berkeley, Kenny Johnson, Joshua Close, Sharon Lawrence, Janine Turner, Luisa Moraes, Jordan Woods-Robinson, Niyi Oni","Crime, Drama, Mystery",Psychic John Clancy (Sir Anthony Hopkins) works with the F.B.I. in order to hunt down a serial killer.,2015
5389,Behind the Candelabra,Steven Soderbergh,"Matt Damon, Scott Bakula, Eric Zuckerman, Eddie Jemison, Randy Lowell, Tom Roach, Shamus Cooley, John Smutny, Jane Morris, Garrett M. Brown, Michael Douglas, Pat Asanti, Debbie Reynolds, Casey Kramer, Cheyenne Jackson","Biography, Drama, Music",A chronicle of the tempestuous six-year romance between megastar singer,2013
5390,Warrior,Gavin O'Connor,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison, Frank Grillo, Kevin Dunn, Maximiliano Hernández, Bryan Callen, Sam Sheridan, Fernando Chien, Jake McLaughlin, Vanessa Martinez, Denzel Whitaker, Carlos Miranda, Manuel Espinosa","Drama, Sport","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",2011
5391,Snabba cash,Daniel Espinosa,"Joel Kinnaman, Matias Varela, Dragomir Mrsic, Lisa Henni, Mahmut Suvakci, Jones Danko, Lea Stojanov, Dejan Cukic, Miodrag Stojanovic, Joel Spira, Christian Hillborg, Fabian Bolin, Annika Ryberg Whittembury, Fares Fares, Hamdisa Causevic","Action, Crime, Drama","When JW becomes a drug runner in order to maintain his double life, his fate becomes tied to two other men: Jorge, a fugitive on the run from both the Serbian mafia and the police, and mafia enforcer Mrado, who is on the hunt for Jorge.",2010
